#       time        depth temperature spcrust spharz opcrust opharz adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity viscosity vertical_heat_flux vertical_mass_flux spcrust_mass spharz_mass opcrust_mass opharz_mass
           0   1.3583e+06      2199.71            0            0            0            0      2198.28  4.80459e+10      3771.99  6.32435e-05            0            0  3.42499e+23    0.0025542            0            0            0            0            0
           0   1.4161e+06      2231.75            0            0            0            0      2230.44  5.02556e+10      3771.94 -6.42306e-05            0            0  3.44877e+23   0.00259106            0            0            0            0            0
           0   1.4739e+06      2261.72            0            0            0            0      2263.07  5.24652e+10      3771.87 -6.51485e-05            0            0  3.45464e+23   0.00262568            0            0            0            0            0
           0   1.5317e+06      2294.65            0            0            0            0      2296.17  5.46747e+10      3771.82  6.60793e-05            0            0  3.44403e+23    0.0026637            0            0            0            0            0
           0   1.5895e+06      2328.06            0            0            0            0      2329.76  5.68841e+10       3771.9  6.70339e-05            0            0  3.41707e+23   0.00270293            0            0            0            0            0
           0   1.6473e+06      2361.96            0            0            0            0      2363.85  5.90942e+10         3772            0            0            0  3.37372e+23   0.00274345            0            0            0            0            0
           0   1.7051e+06      2396.37            0            0            0            0      2398.46  6.13055e+10      3771.95 -6.91383e-05            0            0  3.31578e+23   0.00278467            0            0            0            0            0
           0   1.7629e+06       2428.6            0            0            0            0      2433.59  6.35178e+10      3771.87 -7.01642e-05            0            0  3.25007e+23   0.00282368            0            0            0            0            0
           0   1.8207e+06      2464.02            0            0            0            0      2469.26  6.57318e+10       3771.8  7.12508e-05            0            0   3.1667e+23   0.00286742            0            0            0            0            0
           0   1.8785e+06      2500.01            0            0            0            0      2505.49  6.79484e+10      3771.88  7.23583e-05            0            0  3.07246e+23   0.00291272            0            0            0            0            0
           0   1.9363e+06      2536.55            0            0            0            0      2542.31  7.01675e+10         3772            0            0            0  2.96845e+23   0.00295879            0            0            0            0            0
           0   1.9941e+06      2573.69            0            0            0            0      2579.71  7.23895e+10      3771.96 -7.47806e-05            0            0  2.85632e+23   0.00300643            0            0            0            0            0
           0   2.0519e+06      2608.51            0            0            0            0      2617.73  7.46157e+10      3771.87 -7.60109e-05            0            0   2.7469e+23   0.00305277            0            0            0            0            0
           0   2.1097e+06      2646.83            0            0            0            0      2656.39  7.68464e+10         3772            0            0            0  2.62307e+23    0.0031038            0            0            0            0            0
           0   2.1675e+06       2685.8            0            0            0            0      2695.71  7.90816e+10      3771.77 -6.84364e-08            0            0  2.49523e+23   0.00315595            0            0            0            0            0
